execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-07-27,2412,中華電,143.0000,490,70070.00,99.65,0.00,70169.65,210.54,simulated_position
2026-07-27,2881,富邦金,114.0000,76,8664.00,12.51,0.00,8676.51,25.97,simulated_position
2026-07-27,00713,元大台灣高息低波,59.7500,406,24258.50,35.00,0.00,24293.50,24.00,simulated_position
2026-07-27,006208,富邦台50,249.2000,38,9469.60,13.48,0.00,9483.08,9.40,simulated_position
2026-07-27,2330,台積電,2422.0000,10,24220.00,34.00,0.00,24254.00,73.00,simulated_position
2026-07-27,2882,國泰金,91.5000,124,11346.00,16.26,0.00,11362.26,34.05,simulated_position
2026-07-27,00878,國泰永續高股息,33.2500,656,21812.00,31.00,0.00,21843.00,22.00,simulated_position
2026-07-27,0056,元大高股息,53.1288,426,22632.85,32.00,0.00,22664.85,28.00,simulated_position
2026-07-27,00919,群益台灣精選高息,30.4392,742,22585.92,32.00,0.00,22617.92,28.00,simulated_position
2026-07-27,00881,國泰台灣5G+,56.3000,146,8219.80,11.71,0.00,8231.51,8.37,simulated_position
2026-07-27,2303,聯電,135.0000,85,11475.00,16.49,0.00,11491.49,34.25,simulated_position
2026-07-27,1301,台塑,52.5000,157,8242.50,11.73,0.00,8254.23,24.58,simulated_position
2026-07-27,0050,元大台灣50,107.6000,89,9576.40,13.46,0.00,9589.86,9.72,simulated_position
