execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-07-30,2412,中華電,143.0000,490,70070.00,99.65,0.00,70169.65,210.54,simulated_position
2026-07-30,2881,富邦金,114.0000,76,8664.00,12.51,0.00,8676.51,25.97,simulated_position
2026-07-30,00713,元大台灣高息低波,59.7500,406,24258.50,35.00,0.00,24293.50,24.00,simulated_position
2026-07-30,006208,富邦台50,249.2000,15,3738.00,5.32,0.00,3743.32,3.71,simulated_position
2026-07-30,2330,台積電,2422.0000,7,16954.00,23.80,0.00,16977.80,51.10,simulated_position
2026-07-30,2882,國泰金,91.5000,124,11346.00,16.26,0.00,11362.26,34.05,simulated_position
2026-07-30,00878,國泰永續高股息,33.2500,492,16359.00,23.25,0.00,16382.25,16.50,simulated_position
2026-07-30,0056,元大高股息,53.1288,179,9510.05,13.44,0.00,9523.50,11.77,simulated_position
2026-07-30,00919,群益台灣精選高息,30.4392,556,16924.22,23.98,0.00,16948.20,20.98,simulated_position
2026-07-30,00881,國泰台灣5G+,56.3000,60,3378.00,4.81,0.00,3382.81,3.44,simulated_position
2026-07-30,2303,聯電,135.0000,35,4725.00,6.79,0.00,4731.79,14.10,simulated_position
2026-07-30,1301,台塑,52.5000,157,8242.50,11.73,0.00,8254.23,24.58,simulated_position
2026-07-30,0050,元大台灣50,107.6000,49,5272.40,7.41,0.00,5279.81,5.35,simulated_position
