execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-07-28,2412,中華電,143.0000,490,70070.00,99.65,0.00,70169.65,210.54,simulated_position
2026-07-28,2881,富邦金,114.0000,76,8664.00,12.51,0.00,8676.51,25.97,simulated_position
2026-07-28,00713,元大台灣高息低波,59.7500,406,24258.50,35.00,0.00,24293.50,24.00,simulated_position
2026-07-28,006208,富邦台50,249.2000,28,6977.60,9.93,0.00,6987.53,6.93,simulated_position
2026-07-28,2330,台積電,2422.0000,10,24220.00,34.00,0.00,24254.00,73.00,simulated_position
2026-07-28,2882,國泰金,91.5000,124,11346.00,16.26,0.00,11362.26,34.05,simulated_position
2026-07-28,00878,國泰永續高股息,33.2500,656,21812.00,31.00,0.00,21843.00,22.00,simulated_position
2026-07-28,0056,元大高股息,53.1288,319,16948.07,23.96,0.00,16972.04,20.97,simulated_position
2026-07-28,00919,群益台灣精選高息,30.4392,742,22585.92,32.00,0.00,22617.92,28.00,simulated_position
2026-07-28,00881,國泰台灣5G+,56.3000,109,6136.70,8.74,0.00,6145.44,6.25,simulated_position
2026-07-28,2303,聯電,135.0000,63,8505.00,12.22,0.00,8517.22,25.39,simulated_position
2026-07-28,1301,台塑,52.5000,157,8242.50,11.73,0.00,8254.23,24.58,simulated_position
2026-07-28,0050,元大台灣50,107.6000,89,9576.40,13.46,0.00,9589.86,9.72,simulated_position
