execution_date,symbol,name,buy_reference_price,shares,gross_amount,buy_commission_estimate,buy_tax_estimate,total_buy_cost,future_sell_tax_estimate,status
2026-08-18,2412,中華電,143.0000,27,3861.00,5.50,0.00,3866.50,11.60,simulated_position
2026-08-18,2881,富邦金,114.0000,76,8664.00,12.51,0.00,8676.51,25.97,simulated_position
2026-08-18,00713,元大台灣高息低波,59.7500,406,24258.50,35.00,0.00,24293.50,24.00,simulated_position
2026-08-18,006208,富邦台50,249.2000,8,1993.60,2.84,0.00,1996.44,1.98,simulated_position
2026-08-18,2330,台積電,2422.0000,7,16954.00,23.80,0.00,16977.80,51.10,simulated_position
2026-08-18,2882,國泰金,91.5000,124,11346.00,16.26,0.00,11362.26,34.05,simulated_position
2026-08-18,00878,國泰永續高股息,33.2500,492,16359.00,23.25,0.00,16382.25,16.50,simulated_position
2026-08-18,0056,元大高股息,52.9108,154,8148.26,11.06,0.00,8159.32,11.81,simulated_position
2026-08-18,00919,群益台灣精選高息,30.4392,556,16924.22,23.98,0.00,16948.20,20.98,simulated_position
2026-08-18,00881,國泰台灣5G+,56.3000,13,731.90,1.05,0.00,732.95,0.74,simulated_position
2026-08-18,1301,台塑,52.5000,157,8242.50,11.73,0.00,8254.23,24.58,simulated_position
2026-08-18,0050,元大台灣50,107.6000,49,5272.40,7.41,0.00,5279.81,5.35,simulated_position
